filename,clipdet_latent10k_plus_global,clipdet_latent10k_plus_local,clipdet_latent10k_plus_fusiongl,clipdet_latent10k_plus,Corvi2023,clipdet_latent10k_plus_fusion_soft_or,clipdet_latent10k_plus_fusion_weighted,fusion
test_set\small_test_set\dalle3\ann000000388247_00.png,-1.0693417,0.65945673,0.65945673,0.65945673,14.814454,0.7569511,-0.31749147,2.1131558
test_set\small_test_set\dalle3\ann000000431926_00.png,0.65440595,1.0821624,1.0821624,1.0821624,18.22028,1.6086507,0.4436021,2.537923
test_set\small_test_set\dalle3\ann000000454885_00.png,-0.19705445,1.9107078,1.9107078,1.9107078,11.253327,1.7037808,0.28651494,2.6741781
test_set\small_test_set\dalle3\ann000000463688_00.png,0.4053209,1.3366752,1.3366752,1.3366752,10.68981,1.6258167,0.40020752,2.2369158
test_set\small_test_set\dalle3\ann000000465544_00.png,0.056627363,0.7788093,0.7788093,0.7788093,20.895533,1.2249427,0.1465881,2.5505931
test_set\small_test_set\DiffusionProjectedGan\seed0252.png,1.376235,1.8637615,1.8637615,1.8637615,0.649291,2.3032372,0.8898721,2.0788455
test_set\small_test_set\DiffusionProjectedGan\seed0518.png,1.878819,2.904783,2.904783,2.904783,-8.864751,3.1093457,1.3054148,2.6013196
test_set\small_test_set\DiffusionProjectedGan\seed0577.png,2.1521804,1.5786535,2.1521804,2.1521804,-3.30737,2.5219305,1.1321795,2.1354766
test_set\small_test_set\DiffusionProjectedGan\seed1219.png,3.0341208,1.858729,3.0341208,3.0341208,0.44909406,3.0934896,1.5350475,3.0946295
test_set\small_test_set\DiffusionProjectedGan\seed1420.png,1.4267437,2.2034743,2.2034743,2.2034743,-2.7235162,2.5067785,0.9812337,2.2048929
test_set\small_test_set\DiffusionProjectedGan\seed1581.png,1.2892983,1.5843245,1.5843245,1.5843245,3.1508856,2.123326,0.7970281,1.9913176
test_set\small_test_set\DiffusionProjectedGan\seed3198.png,1.4888096,1.4764664,1.4888096,1.4888096,-2.7929845,2.1612203,0.8520406,1.6271673
test_set\small_test_set\DiffusionProjectedGan\seed3431.png,2.7763534,2.4551558,2.7763534,2.7763534,-5.9035134,3.2764578,1.5604066,2.589209
test_set\small_test_set\DiffusionProjectedGan\seed3483.png,1.7637355,2.163511,2.163511,2.163511,-12.104193,2.636198,1.1041602,1.807009
test_set\small_test_set\DiffusionProjectedGan\seed3497.png,1.8827882,1.3991406,1.8827882,1.8827882,-0.82674587,2.3090289,0.9892974,2.0236762
test_set\small_test_set\DiffusionProjectedGan\seed3745.png,1.4960111,1.8613183,1.8613183,1.8613183,-3.2200603,2.3554947,0.9360449,1.8967389
test_set\small_test_set\DiffusionProjectedGan\seed3770.png,1.7953544,1.7021862,1.7953544,1.7953544,2.281779,2.4123476,1.0191535,2.1056705
test_set\small_test_set\DiffusionProjectedGan\seed6291.png,1.6988444,1.8355503,1.8355503,1.8355503,-2.9487457,2.4345422,1.0096718,1.8880848
test_set\small_test_set\DiffusionProjectedGan\seed6555.png,2.3055563,2.2203526,2.3055563,2.3055563,-3.2641082,2.92032,1.3273523,2.2701387
test_set\small_test_set\DiffusionProjectedGan\seed6637.png,1.3687894,1.7503225,1.7503225,1.7503225,-5.913921,2.241744,0.8630361,1.6897929
test_set\small_test_set\DiffusionProjectedGan\seed7004.png,2.0268297,2.0471478,2.0471478,2.0471478,0.4334962,2.6963313,1.1821626,2.2170436
test_set\small_test_set\DiffusionProjectedGan\seed9643.png,1.2679448,1.535085,1.535085,1.535085,-8.573105,2.08968,0.7783159,1.4082924
test_set\small_test_set\DiffusionProjectedGan\seed10305.png,2.0299048,1.247921,2.0299048,2.0299048,-0.045141846,2.3116903,1.0147382,2.1801949
test_set\small_test_set\DiffusionProjectedGan\seed11176.png,2.3457193,0.7368972,2.3457193,2.3457193,-7.3666067,2.2602947,1.0300243,2.1396022
test_set\small_test_set\DiffusionProjectedGan\seed11824.png,1.5774039,1.6677713,1.6677713,1.6677713,0.3822099,2.2946386,0.9269363,1.9136605
test_set\small_test_set\progan_lsun\airplane_00820.png,1.8130507,2.0068326,2.0068326,2.0068326,-10.682555,2.5756102,1.0903265,1.7182156
test_set\small_test_set\progan_lsun\bicycle_06930.png,1.550353,2.113009,2.113009,2.113009,-4.816137,2.5125012,1.0103295,2.0377018
test_set\small_test_set\progan_lsun\bird_05454.png,2.4854262,1.2608899,2.4854262,2.4854262,-3.1739907,2.5412812,1.1950349,2.4333694
test_set\small_test_set\progan_lsun\bottle_02976.png,0.79024434,0.87063825,0.87063825,0.87063825,-13.805583,1.5742133,0.4519234,0.7086874
test_set\small_test_set\progan_lsun\bus_05450.png,2.9099114,1.4899379,2.9099114,2.9099114,-16.242994,2.8561926,1.4088227,2.3800902
test_set\small_test_set\progan_lsun\car_09850.png,2.557486,2.8488798,2.8488798,2.8488798,-13.86078,3.3934069,1.558162,2.3879602
test_set\small_test_set\progan_lsun\cat_05970.png,2.5144749,1.0356334,2.5144749,2.5144749,-15.30778,2.4613693,1.1588327,2.0294356
test_set\small_test_set\progan_lsun\chair_15766.png,1.412135,0.61757946,1.412135,1.412135,-16.391277,1.7578229,0.6409429,1.0224202
test_set\small_test_set\progan_lsun\cow_03634.png,2.0673008,1.5200386,2.0673008,2.0673008,-21.459595,2.4534023,1.086727,1.4533883
test_set\small_test_set\progan_lsun\diningtable_10104.png,2.2940702,1.7517623,2.2940702,2.2940702,-16.56724,2.6740673,1.2240107,1.7886847
test_set\small_test_set\progan_lsun\dog_05830.png,3.2338254,1.1395674,3.2338254,3.2338254,-12.122594,2.871274,1.461161,2.811074
test_set\small_test_set\progan_lsun\horse_12307.png,1.707066,1.7697827,1.7697827,1.7697827,-19.82108,2.4050639,0.9990008,1.2251538
test_set\small_test_set\progan_lsun\motorbike_08828.png,0.09091449,2.941864,2.941864,2.941864,-3.5179858,2.415613,0.6163202,2.8384356
test_set\small_test_set\progan_lsun\person_12892.png,3.1483927,1.721533,3.1483927,3.1483927,-5.4782023,3.085106,1.5506442,2.956792
test_set\small_test_set\progan_lsun\pottedplant_06062.png,1.284103,1.4522386,1.4522386,1.4522386,-31.420792,2.0568845,0.76713514,0.6883251
test_set\small_test_set\progan_lsun\sheep_14005.png,2.264484,1.7192376,2.264484,2.264484,-20.375555,2.6438277,1.2056159,1.6624377
test_set\small_test_set\progan_lsun\sofa_02909.png,3.4616313,2.6819203,3.4616313,3.4616313,-2.3412838,3.746233,1.8753685,3.3825324
test_set\small_test_set\progan_lsun\sofa_09016.png,2.3021293,1.3504306,2.3021293,2.3021293,-7.0303617,2.489894,1.142478,2.1136413
test_set\small_test_set\progan_lsun\train_17058.png,0.46663484,1.4386646,1.4386646,1.4386646,-17.17888,1.7010937,0.44562542,1.0187342
test_set\small_test_set\progan_lsun\tvmonitor_10558.png,2.22016,1.683337,2.22016,2.22016,-6.053105,2.6049402,1.1807642,2.0798166
test_set\small_test_set\real_coco_valid\000000010977.jpg,-1.6178082,1.9915885,1.9915885,1.9915885,-5.3835263,1.3407906,-0.25022483,1.9108955
test_set\small_test_set\real_coco_valid\000000020553.jpg,-2.150403,0.42795783,0.42795783,0.42795783,-24.961416,0.32370663,-0.7877272,0.0005283952
test_set\small_test_set\real_coco_valid\000000042889.jpg,-3.2393222,0.1537288,0.1537288,0.1537288,-14.072458,-0.068028696,-1.2700411,0.26681858
test_set\small_test_set\real_coco_valid\000000044260.jpg,-2.6553063,-0.13532041,-0.13532041,-0.13532041,-30.306341,-0.08844413,-1.1033785,-0.54874086
test_set\small_test_set\real_coco_valid\000000084650.jpg,-4.4093213,-0.20673329,-0.20673329,-0.20673329,-14.555987,-0.46509674,-1.8021532,0.07502043
test_set\small_test_set\real_coco_valid\000000100582.jpg,-2.072644,-0.031001909,-0.031001909,-0.031001909,-21.78741,0.12036301,-0.85424954,-0.17129058
test_set\small_test_set\real_coco_valid\000000104455.jpg,-1.9208447,-0.18141453,-0.18141453,-0.18141453,-23.913465,0.09876574,-0.8268133,-0.34025472
test_set\small_test_set\real_coco_valid\000000111951.jpg,-2.072714,0.8696612,0.8696612,0.8696612,-18.730072,0.57888985,-0.6642525,0.5238831
test_set\small_test_set\real_coco_valid\000000144798.jpg,-3.6494718,-0.07776386,-0.07776386,-0.07776386,-15.532345,-0.2722116,-1.4787568,0.08438486
test_set\small_test_set\real_coco_valid\000000159311.jpg,-3.086393,0.80668294,0.80668294,0.80668294,-31.383009,0.33399242,-1.072668,0.12220693
test_set\small_test_set\real_coco_valid\000000164637.jpg,-2.8426256,0.36550048,0.36550048,0.36550048,-19.565525,0.12835334,-1.0707302,0.1507029
test_set\small_test_set\real_coco_valid\000000172396.jpg,-3.8067758,-0.21656753,-0.21656753,-0.21656753,-20.217974,-0.3768815,-1.5693585,-0.19966197
test_set\small_test_set\real_coco_valid\000000210855.jpg,-4.2488036,-0.50667036,-0.50667036,-0.50667036,-19.068377,-0.61217177,-1.8028657,-0.27295923
test_set\small_test_set\real_coco_valid\000000222299.jpg,-3.693308,0.550252,0.550252,0.550252,-37.667072,0.084967725,-1.3633435,-0.2163083
test_set\small_test_set\real_coco_valid\000000225532.jpg,-3.6584818,0.51109034,0.51109034,0.51109034,-11.741357,0.066556014,-1.3580308,0.5695181
test_set\small_test_set\real_coco_valid\000000229858.jpg,-1.8102596,1.6908213,1.6908213,1.6908213,-31.744326,1.1141056,-0.38869825,0.9038991
test_set\small_test_set\real_coco_valid\000000263860.jpg,-2.0745156,0.9656029,0.9656029,0.9656029,-13.411316,0.6317321,-0.6447127,0.7904043
test_set\small_test_set\real_coco_valid\000000269866.jpg,-2.767958,-0.103028394,-0.103028394,-0.103028394,-21.335613,-0.10049159,-1.1404766,-0.1912148
test_set\small_test_set\real_coco_valid\000000279887.jpg,-1.6108944,0.93650615,0.93650615,0.93650615,-33.274673,0.7343297,-0.47013393,0.19510871
test_set\small_test_set\real_coco_valid\000000289992.jpg,-2.6248796,-10.0,-2.6248796,-2.6248796,-15.117387,-1.2581607,-3.172795,-0.4405004
test_set\small_test_set\real_ffhq\000026.png,-2.8726046,-0.12272756,-0.12272756,-0.12272756,-9.816288,-0.13549176,-1.1854236,0.35518664
test_set\small_test_set\real_ffhq\000157.png,-0.61486256,0.7340565,0.7340565,0.7340565,-9.001959,0.94879377,-0.124598086,0.828177
test_set\small_test_set\real_ffhq\000202.png,-1.62128,0.6234235,0.6234235,0.6234235,-9.2386675,0.5684084,-0.5402372,0.75099695
test_set\small_test_set\real_ffhq\000222.png,-2.3743255,0.31460214,0.31460214,0.31460214,-7.305883,0.2084429,-0.89892733,0.68062377
test_set\small_test_set\real_ffhq\000496.png,-0.8626995,0.9062395,0.9062395,0.9062395,-11.699468,0.945997,-0.18487626,0.81951904
test_set\small_test_set\real_ffhq\000542.png,-1.9885318,-1.200208,-1.200208,-1.200208,-24.852129,-0.30834097,-1.0681452,-0.8080964
test_set\small_test_set\real_ffhq\000665.png,-1.4706472,0.8817576,0.8817576,0.8817576,-12.029102,0.7447649,-0.42701712,0.7891665
test_set\small_test_set\real_ffhq\000677.png,-1.5030786,0.06482255,0.06482255,0.06482255,-14.505769,0.34079346,-0.6120179,0.20176256
test_set\small_test_set\real_ffhq\000926.png,-1.3987043,-0.04584489,-0.04584489,-0.04584489,-10.375306,0.3285305,-0.59468216,0.35730922
test_set\small_test_set\real_ffhq\001036.png,-1.1249765,1.280762,1.280762,1.280762,-11.358355,1.0585406,-0.20809308,1.1012791
test_set\small_test_set\real_ffhq\001059.png,-0.113833755,0.38350892,0.38350892,0.38350892,-9.034535,0.9887599,-0.0032585263,0.62813187
test_set\small_test_set\real_ffhq\001099.png,-1.4002012,0.594137,0.594137,0.594137,-11.839624,0.619793,-0.46024054,0.61409175
test_set\small_test_set\real_ffhq\001349.png,-1.3728375,0.3252597,0.3252597,0.3252597,-8.628071,0.5004663,-0.5063027,0.6185781
test_set\small_test_set\real_ffhq\001423.png,-0.8154198,0.62978774,0.62978774,0.62978774,-10.126897,0.82915723,-0.22477338,0.7133167
test_set\small_test_set\real_ffhq\001902.png,-1.1641984,1.161825,1.161825,1.161825,-16.51598,0.9827212,-0.24847525,0.81982106
test_set\small_test_set\real_ffhq\001927.png,-2.1243665,-0.097076945,-0.097076945,-0.097076945,-8.730302,0.0747879,-0.8883515,0.4236161
test_set\small_test_set\real_ffhq\001970.png,-1.5357027,-0.43892336,-0.43892336,-0.43892336,-17.229126,0.12330279,-0.73101634,-0.1542989
test_set\small_test_set\real_ffhq\002217.png,-3.3006482,-0.4066313,-0.4066313,-0.4066313,-9.522365,-0.37687582,-1.4121721,0.26796073
test_set\small_test_set\real_ffhq\002250.png,-2.0529592,0.76632,0.76632,0.76632,-6.560713,0.52726805,-0.6783554,0.9634057
test_set\small_test_set\real_ffhq\002295.png,-1.1638494,1.2158158,1.2158158,1.2158158,-12.268229,1.011836,-0.23694804,1.016901
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00000423.JPEG,-0.6716194,0.48174876,0.48174876,0.48174876,-5.2635064,0.81364304,-0.19995424,0.87000024
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00000526.JPEG,-2.72095,-0.16487822,-0.16487822,-0.16487822,-18.004309,-0.119490035,-1.1352022,-0.07348257
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00000628.JPEG,-2.972179,-0.50826365,-0.50826365,-0.50826365,-24.003824,-0.34795806,-1.3055787,-0.5066822
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00000960.JPEG,-2.6841874,0.43609247,0.43609247,0.43609247,-33.36572,0.2008514,-0.9940779,-0.2234016
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00001462.JPEG,-2.1718457,-0.21131107,-0.21131107,-0.21131107,-7.7014503,0.008960158,-0.93096006,0.43675494
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00001721.JPEG,-0.86843157,-0.58409446,-0.58409446,-0.58409446,-14.555209,0.3299506,-0.5015453,-0.06727433
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00004525.JPEG,-3.148341,-0.27928782,-0.27928782,-0.27928782,-17.663322,-0.27837223,-1.3259361,-0.10933608
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00004712.JPEG,-2.3271127,-0.5895751,-0.5895751,-0.5895751,-20.642796,-0.20162731,-1.0712898,-0.38335544
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00004794.JPEG,-1.9676203,0.15629894,0.15629894,0.15629894,-36.54148,0.23888397,-0.7737945,-0.51458573
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00006065.JPEG,-2.368841,0.5540535,0.5540535,0.5540535,-21.071007,0.33624756,-0.8462694,0.21861953
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00006087.JPEG,-1.8837206,0.9481503,0.9481503,0.9481503,-24.448503,0.66878253,-0.5740238,0.40669447
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00006515.JPEG,-2.9849646,0.20774567,0.20774567,0.20774567,-33.09596,0.0125904465,-1.1594969,-0.39268225
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00006920.JPEG,-1.5894772,1.0223002,1.0223002,1.0223002,-9.16804,0.78636044,-0.44368452,1.0069298
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00008442.JPEG,-1.5951688,0.8699735,0.8699735,0.8699735,-5.419698,0.70330924,-0.4780414,1.081681
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00008809.JPEG,-1.5395045,-5.045788e-05,-5.045788e-05,-5.045788e-05,-24.795092,0.30048785,-0.6399037,-0.27170372
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00009068.JPEG,-3.1136582,0.06222239,0.06222239,0.06222239,-31.273684,-0.092658676,-1.2403641,-0.44756198
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00009116.JPEG,-0.5216183,1.7801244,1.7801244,1.7801244,-4.4213147,1.5218271,0.1324504,1.7780962
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00012457.JPEG,-3.738681,-2.078261,-2.078261,-2.078261,-0.33907625,-1.2079589,-1.9356004,0.5606704
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00012533.JPEG,-1.7269627,0.29679042,0.29679042,0.29679042,-6.2386966,0.37667364,-0.65034586,0.7275669
test_set\small_test_set\real_imagenet_val\ILSVRC2012_val_00012831.JPEG,-3.0680137,0.7414153,0.7414153,0.7414153,-23.189657,0.29866177,-1.079274,0.28328866
test_set\small_test_set\real_lsun\airplane_00049.png,0.48309413,1.0176741,1.0176741,1.0176741,-24.517006,1.5069599,0.36321947,0.46080923
test_set\small_test_set\real_lsun\bedroom_00253.png,-1.6646805,1.1701485,1.1701485,1.1701485,-12.39497,0.84764576,-0.441805,0.97802377
test_set\small_test_set\real_lsun\bicycle_00807.png,-0.47955006,1.1646022,1.1646022,1.1646022,-28.583693,1.2063125,0.01898389,0.4863451
test_set\small_test_set\real_lsun\bird_14085.png,0.44976708,0.20263383,0.44976708,0.44976708,-16.428898,1.1613783,0.17826931,0.3287474
test_set\small_test_set\real_lsun\boat_00049.png,1.6767778,3.083754,3.083754,3.083754,-30.417952,3.1267583,1.2644197,2.2755816
test_set\small_test_set\real_lsun\bottle_16841.png,0.22273245,0.64000726,0.64000726,0.64000726,-25.101517,1.233182,0.18205035,0.14973754
test_set\small_test_set\real_lsun\bus_07091.png,1.3358464,2.093035,2.093035,2.093035,-30.550398,2.4068274,0.92250144,1.3034271
test_set\small_test_set\real_lsun\car_12364.png,1.9686549,2.4221716,2.4221716,2.4221716,-23.921602,2.8721757,1.2386098,1.7341176
test_set\small_test_set\real_lsun\cat_09253.png,0.23375025,1.5245277,1.5245277,1.5245277,-22.726034,1.652669,0.37296355,0.93444824
test_set\small_test_set\real_lsun\chair_02356.png,0.91422904,1.5591549,1.5591549,1.5591549,-29.321669,1.9471885,0.64551723,0.8231088
test_set\small_test_set\real_lsun\church_09825.png,1.6213017,3.120554,3.120554,3.120554,-13.526754,3.1248467,1.2505596,2.659292
test_set\small_test_set\real_lsun\cow_15908.png,-0.48598593,1.6473136,1.6473136,1.6473136,-31.107256,1.4595416,0.118318975,0.8734821
test_set\small_test_set\real_lsun\dog_05450.png,0.70277,1.0272188,1.0272188,1.0272188,-23.534954,1.6045643,0.45086205,0.49529827
test_set\small_test_set\real_lsun\horse_16219.png,0.07336292,0.8008327,0.8008327,0.8008327,-21.609472,1.241437,0.15775809,0.37722313
test_set\small_test_set\real_lsun\motorbike_14864.png,1.3310108,1.7886078,1.7886078,1.7886078,-27.818518,2.2444637,0.85638773,1.0620158
test_set\small_test_set\real_lsun\person_00049.png,1.1107186,1.2507594,1.2507594,1.2507594,-22.669205,1.8847665,0.6570419,0.7021642
test_set\small_test_set\real_lsun\pottedplant_11308.png,0.04110515,1.2005378,1.2005378,1.2005378,-31.118475,1.41555,0.22951502,0.46699154
test_set\small_test_set\real_lsun\sheep_07543.png,0.049377948,0.8304793,0.8304793,0.8304793,-26.777306,1.245063,0.15466379,0.25053728
test_set\small_test_set\real_lsun\train_03655.png,0.8096045,2.4219873,2.4219873,2.4219873,-30.755913,2.3701267,0.78677773,1.6185478
test_set\small_test_set\real_lsun\tvmonitor_14085.png,-0.4817537,1.2725471,1.2725471,1.2725471,-19.752598,1.2607648,0.040899426,0.80317193
test_set\small_test_set\stable_diffusion\captions_val2017_10935.png,0.96455777,1.6263788,1.6263788,1.6263788,10.34995,2.002422,0.67931825,2.4132497
test_set\small_test_set\stable_diffusion\captions_val2017_11319.png,1.3043103,1.213676,1.3043103,1.3043103,10.669144,1.9550556,0.7246793,2.215082
test_set\small_test_set\stable_diffusion\captions_val2017_11616.png,-0.23438975,0.68872136,0.68872136,0.68872136,15.893114,1.0701623,0.014143776,2.1936638
test_set\small_test_set\stable_diffusion\captions_val2017_13634.png,-0.90843594,0.47144315,0.47144315,0.47144315,15.016517,0.72399354,-0.29443866,2.0447106
test_set\small_test_set\stable_diffusion\captions_val2017_15485.png,-1.1416095,1.133247,1.133247,1.133247,18.18239,0.97426254,-0.24569963,2.5642526
test_set\small_test_set\stable_diffusion\captions_val2017_16437.png,-0.8498075,0.29134846,0.29134846,0.29134846,10.559313,0.66573715,-0.3095824,1.696439
test_set\small_test_set\stable_diffusion\captions_val2017_17068.png,0.19693944,0.29769948,0.29769948,0.29769948,8.91173,1.0855181,0.09977533,1.5974544
test_set\small_test_set\stable_diffusion\captions_val2017_18675.png,1.0538868,1.749831,1.749831,1.749831,18.07099,2.1036158,0.74018466,2.9543571
test_set\small_test_set\stable_diffusion\captions_val2017_107862.png,0.99431634,2.5854235,2.5854235,2.5854235,14.466372,2.5398335,0.8932599,3.4091067
test_set\small_test_set\stable_diffusion\captions_val2017_111064.png,0.46542677,1.5216396,1.5216396,1.5216396,27.91062,1.7424225,0.4626608,3.4127584
test_set\small_test_set\stable_diffusion\captions_val2017_113211.png,0.64653707,1.1432443,1.1432443,1.1432443,8.489276,1.6333418,0.453422,1.9895936
test_set\small_test_set\stable_diffusion\captions_val2017_115161.png,-0.78938395,0.53256357,0.53256357,0.53256357,13.884365,0.7937397,-0.23513734,1.9994642
test_set\small_test_set\stable_diffusion\captions_val2017_118293.png,0.5521947,0.5266392,0.5521947,0.5521947,18.485777,1.3284208,0.28655475,2.2969406
test_set\small_test_set\stable_diffusion\captions_val2017_119143.png,-0.12860045,0.9992926,0.9992926,0.9992926,10.822677,1.2535484,0.12090519,2.0424545
test_set\small_test_set\stable_diffusion\captions_val2017_121297.png,-1.2038717,0.28562608,0.28562608,0.28562608,14.981095,0.53858227,-0.44880256,1.9710385
test_set\small_test_set\stable_diffusion\captions_val2017_128814.png,-0.8904599,0.47261137,0.47261137,0.47261137,7.0137014,0.7308408,-0.28718522,1.554557
test_set\small_test_set\stable_diffusion\captions_val2017_133434.png,-0.5318794,1.7180016,1.7180016,1.7180016,18.237974,1.4836732,0.115343824,2.9418027
test_set\small_test_set\stable_diffusion\captions_val2017_137943.png,-1.0887858,1.1335709,1.1335709,1.1335709,18.593596,0.9904682,-0.22504081,2.5899277
test_set\small_test_set\stable_diffusion\captions_val2017_141432.png,-1.284301,1.4205503,1.4205503,1.4205503,6.0692987,1.0900297,-0.24070421,2.0315897
